1break;2breaks
0,68433;0,28497
0,8747;0,92495
0,21249;0,10564
0,37624;0,60582
0,12967;0,48525
1,35343;0,19795
0,54186;0,40512
0,92122;0,12651
1,28977;0,31097
0,60794;-1,23886
1,43701;-1,11577
0,38535;0,77912
0,29443;0,20438
1,33775;1,52777
1,87666;0,61944
0,56227;0,94416
0,31911;-1,39125
0,2591;0,51824
0,43579;-1,39152
0,23678;0,67189
0,20716;0,67155
0,28626;0,83158
0,43308;0,31023
0,92502;0,82107
0,25222;0,9314
0,94121;-1,4756
0,39718;0,47101
0,34939;0,52415
0,76155;-1,94008
0,28877;0,29925
0,74755;0,28171
0,50943;1,24806
0,24668;0,53564
0,90967;0,61143
0,98789;0,11632
0,42631;0,64348
0,57169;0,74827
-1,58356;0,18596
-1,71026;0,43093
0,34627;0,74625
0,17903;0,81811
0,25309;0,71872
0,88537;0,26996
0,92278;1,45798
-1,61495;1,66117
0,39821;0,5804
2,16623;0,40688
0,16602;1,55871
-1,27629;-1,97363
0,31367;0,13558
0,66236;0,86701
0,49696;0,27093
0,59504;0,82196
0,77193;0,42357
0,15703;-1,74813
2,14857;0,53812
0,96628;0,67813
0,63035;0,88704
0,43225;0,30594
0,62026;0,18158
0,52589;-1,9851
0,18112;-1,36966
0,29152;0,98414
0,31869;0,97834
0,34323;-1,91888
0,43779;1,12821
0,27488;0,37315
-1,97589;0,89823
0,74203;0,25548
0,58331;0,99421
1,67086;-1,28838
1,13115;0,39557
0,52387;0,31048
0,16723;1,30411
0,92874;0,25635
0,73092;0,18406
0,62086;0,1962
0,95101;0,3684
1,13;0,65201
1,91953;0,27558
0,21712;0,84925
0,59689;0,48518
-1,21662;0,72374
-1,55442;0,76594
0,67311;0,9486
0,89834;0,14404
-1,84727;1,2423
0,70003;-1,46248
1,16286;-1,68294
0,50506;0,48026
0,55704;1,70473
0,19464;-1,6269
-1,108;0,59765
0,44909;0,53327
0,68694;0,58094
0,36809;0,11075
1,34188;0,21632
0,11784;0,48267
1,25261;0,12091
0,68427;0,18597
0,79753;0,58059
0,72431;0,2199
0,75716;0,38199
0,56426;0,6325
0,58881;0,39902
1,99141;0,85855
0,95538;0,16037
0,14656;0,17398
0,5233;0,63148
0,27871;0,98674
0,38693;0,39378
0,522;1,27685
0,25931;-1,33169
0,6429;1,62304
0,61736;0,49839
0,99837;0,15295
0,81211;0,3748
-1,94915;0,22551
0,31654;0,28429
0,38025;-1,13925
0,42874;0,15849
0,38331;0,12153
0,40235;0,13053
0,56472;0,10111
0,11325;1,5984
0,59809;0,51339
0,84906;1,83346
0,57587;0,29974
0,26734;-1,90331
0,10047;0,68756
-1,67311;0,38533
-1,12241;0,96234
-1,44814;0,87217
0,57856;0,57683
1,36779;0,29579
0,45137;0,22346
-1,21561;0,58197
1,61078;1,35081
1,3392;1,13651
0,64524;0,22996
0,98464;-1,28794
0,10899;0,95739
1,22908;0,50182
0,55375;0,59675
0,38296;0,29842
0,50416;0,32285
0,68416;0,31339
0,97458;0,87529
0,29098;0,76473
0,39464;0,31819
0,19901;-1,92655
0,1547;0,40641
-1,30043;0,17646
0,67726;1,16876
0,79738;0,10559
0,92537;0,38461
0,60834;0,79232
-1,70846;0,43423
0,3841;0,33561
1,84013;0,16317
2,12646;0,7761
-1,32473;-1,11432
0,7296;1,30104
0,43176;0,73854
0,83182;1,95927
-2,18477;0,32942
0,18836;0,43383
0,25718;0,24006
0,15534;0,66118
0,16025;0,62436
0,71949;-1,59999
2,23413;-1,97375
0,72932;0,63342
1,58702;0,59751
0,69933;0,4123
0,40941;0,20591
-1,63205;0,50983
2,65975;0,62163
1,41075;0,25774
0,52;0,39721
0,7968;0,48676
0,53442;0,40259
0,51973;-1,29002
0,8389;2,11267
0,16777;0,89752
0,8559;-1,47514
0,2825;0,53429
-1,71501;0,15214
0,98366;0,34336
1,25878;0,4084
2,18475;-1,24751
2,78415;0,44085
1,42787;0,43918
1,26249;0,91222
1,58657;0,5713
0,29459;0,33125
0,7117;0,15338
-1,1886;0,17553
1,90799;0,54498
0,40855;0,16147
0,72051;0,89615
0,82755;1,23165
